condition,dataset_source,hours_after_sunset,bat_landing_to_food,seconds_after_rat_arrival,metric_type,bat_landing_number,food_availability
control,individual_events,5.1875,6.0,231.0,individual_behavior,,
rat_present,individual_events,6.04,15.0,76.0,individual_behavior,,
rat_present,individual_events,6.0425,3.0,85.0,individual_behavior,,
control,individual_events,6.051944444,8.0,119.0,individual_behavior,,
control,individual_events,6.053888889,10.0,126.0,individual_behavior,,
control,individual_events,6.058333333,15.0,142.0,individual_behavior,,
rat_present,individual_events,6.080833333,26.0,223.0,individual_behavior,,
control,individual_events,6.083055556,2.0,231.0,individual_behavior,,
rat_present,individual_events,6.899722222,0.050962883,7.0,individual_behavior,,
control,individual_events,6.910833333,5.0,47.0,individual_behavior,,
control,individual_events,6.936666667,3.0,140.0,individual_behavior,,
control,individual_events,6.966111111,13.0,246.0,individual_behavior,,
rat_present,individual_events,6.986111111,3.0,318.0,individual_behavior,,
rat_present,individual_events,6.999444444,0.09619989,366.0,individual_behavior,,
rat_present,individual_events,7.0,0.063771569,368.0,individual_behavior,,
control,individual_events,7.046944444,0.081091814,537.0,individual_behavior,,
control,individual_events,7.379722222,2.0,62.0,individual_behavior,,
control,individual_events,7.509166667,0.090564496,528.0,individual_behavior,,
control,individual_events,7.545833333,2.0,660.0,individual_behavior,,
control,individual_events,7.546944444,14.0,664.0,individual_behavior,,
control,individual_events,7.580277778,0.032779517,784.0,individual_behavior,,
control,individual_events,7.587777778,10.0,811.0,individual_behavior,,
control,individual_events,7.591666667,22.0,825.0,individual_behavior,,
rat_present,individual_events,7.600555556,0.068238813,857.0,individual_behavior,,
rat_present,individual_events,7.614722222,11.0,908.0,individual_behavior,,
control,individual_events,7.741666667,1.0,17.0,individual_behavior,,
control,individual_events,7.743055556,2.0,22.0,individual_behavior,,
rat_present,individual_events,8.101388889,0.042707344,17.0,individual_behavior,,
control,individual_events,8.102222222,13.0,20.0,individual_behavior,,
rat_present,individual_events,8.105833333,0.043905767,33.0,individual_behavior,,
control,individual_events,8.124166667,1.0,99.0,individual_behavior,,
rat_present,individual_events,8.136111111,0.076705397,142.0,individual_behavior,,
control,individual_events,8.446388889,0.040958086,38.0,individual_behavior,,
rat_present,individual_events,8.48,0.056999457,159.0,individual_behavior,,
rat_present,individual_events,8.480277778,0.099530937,160.0,individual_behavior,,
rat_present,individual_events,8.4825,0.014419381,168.0,individual_behavior,,
control,individual_events,8.736111111,3.0,106.0,individual_behavior,,
control,individual_events,8.931666667,5.0,106.0,individual_behavior,,
rat_present,individual_events,9.323055556,0.040564984,445.0,individual_behavior,,
rat_present,individual_events,3.194444444,16.0,183.0,individual_behavior,,
control,individual_events,3.276666667,1.0,479.0,individual_behavior,,
control,individual_events,3.806111111,0.044489486,26.0,individual_behavior,,
rat_present,individual_events,3.808333333,2.0,34.0,individual_behavior,,
rat_present,individual_events,6.975,54.0,278.0,individual_behavior,,
control,individual_events,7.520833333,1.0,570.0,individual_behavior,,
control,individual_events,8.135555556,3.0,140.0,individual_behavior,,
control,individual_events,8.481944444,22.0,166.0,individual_behavior,,
control,individual_events,0.217222222,0.051207358,75.0,individual_behavior,,
control,individual_events,0.242777778,1.0,167.0,individual_behavior,,
control,individual_events,0.260277778,1.0,230.0,individual_behavior,,
rat_present,individual_events,0.348333333,5.0,547.0,individual_behavior,,
rat_present,individual_events,2.360555556,0.039785341,220.0,individual_behavior,,
control,individual_events,2.426388889,176.0,457.0,individual_behavior,,
control,individual_events,2.434722222,3.0,487.0,individual_behavior,,
rat_present,individual_events,2.436388889,2.0,493.0,individual_behavior,,
rat_present,individual_events,3.381944444,4.0,22.0,individual_behavior,,
control,individual_events,3.406111111,237.0,109.0,individual_behavior,,
rat_present,individual_events,3.506944444,1.0,472.0,individual_behavior,,
control,individual_events,4.857222222,12.0,185.0,individual_behavior,,
control,individual_events,4.848888889,39.0,155.0,individual_behavior,,
rat_present,individual_events,4.863333333,14.0,207.0,individual_behavior,,
rat_present,individual_events,4.871111111,5.0,235.0,individual_behavior,,
rat_present,individual_events,4.878611111,0.016181067,262.0,individual_behavior,,
rat_present,individual_events,4.887777778,29.0,295.0,individual_behavior,,
rat_present,individual_events,4.894722222,3.0,320.0,individual_behavior,,
rat_present,individual_events,4.900555556,18.0,341.0,individual_behavior,,
rat_present,individual_events,4.946944444,11.0,508.0,individual_behavior,,
control,individual_events,4.966666667,1.0,579.0,individual_behavior,,
control,individual_events,4.992777778,0.093784466,673.0,individual_behavior,,
control,individual_events,4.999444444,0.019265878,697.0,individual_behavior,,
control,individual_events,5.003333333,1.0,711.0,individual_behavior,,
control,individual_events,5.030555556,6.0,809.0,individual_behavior,,
rat_present,individual_events,5.035,10.0,825.0,individual_behavior,,
control,individual_events,5.045555556,0.058920205,863.0,individual_behavior,,
control,individual_events,6.802777778,0.024862202,39.0,individual_behavior,,
control,individual_events,6.803333333,1.0,41.0,individual_behavior,,
