condition,dataset_source,hours_after_sunset,bat_landing_to_food,seconds_after_rat_arrival,metric_type,bat_landing_number,food_availability
control,time_series,-1.0,,,aggregate_behavior,31.0,4.0
control,time_series,-0.5,,,aggregate_behavior,53.0,4.0
control,time_series,0.0,,,aggregate_behavior,58.0,4.0
control,time_series,0.5,,,aggregate_behavior,40.0,4.0
control,time_series,1.0,,,aggregate_behavior,67.0,4.0
control,time_series,1.5,,,aggregate_behavior,45.0,3.911030177
control,time_series,2.0,,,aggregate_behavior,69.0,3.467741935
control,time_series,2.5,,,aggregate_behavior,86.0,3.054630593
control,time_series,3.0,,,aggregate_behavior,89.0,3.0
control,time_series,3.5,,,aggregate_behavior,73.0,2.909571655
control,time_series,4.0,,,aggregate_behavior,96.0,2.459016393
control,time_series,4.5,,,aggregate_behavior,98.0,2.048122686
control,time_series,5.0,,,aggregate_behavior,82.0,2.0
rat_present,time_series,5.5,,,aggregate_behavior,67.0,1.917741935
rat_present,time_series,6.0,,,aggregate_behavior,104.0,1.466666667
control,time_series,6.5,,,aggregate_behavior,62.0,1.048924731
control,time_series,7.0,,,aggregate_behavior,81.0,1.0
control,time_series,7.5,,,aggregate_behavior,62.0,0.926336062
control,time_series,8.0,,,aggregate_behavior,39.0,0.52238806
control,time_series,8.5,,,aggregate_behavior,14.0,0.149253731
control,time_series,9.0,,,aggregate_behavior,8.0,0.0
control,time_series,9.5,,,aggregate_behavior,3.0,0.0
control,time_series,0.0,,,aggregate_behavior,17.0,4.0
rat_present,time_series,0.5,,,aggregate_behavior,53.0,4.0
rat_present,time_series,1.0,,,aggregate_behavior,29.0,4.0
rat_present,time_series,1.5,,,aggregate_behavior,46.0,4.0
rat_present,time_series,2.0,,,aggregate_behavior,45.0,4.0
control,time_series,2.5,,,aggregate_behavior,42.0,3.901144641
control,time_series,3.0,,,aggregate_behavior,65.0,3.451612903
control,time_series,3.5,,,aggregate_behavior,64.0,3.047346514
control,time_series,4.0,,,aggregate_behavior,69.0,3.0
rat_present,time_series,4.5,,,aggregate_behavior,60.0,2.933259177
control,time_series,5.0,,,aggregate_behavior,81.0,2.482758621
rat_present,time_series,5.5,,,aggregate_behavior,65.0,2.050611791
control,time_series,6.0,,,aggregate_behavior,49.0,2.0
control,time_series,6.5,,,aggregate_behavior,58.0,2.0
control,time_series,7.0,,,aggregate_behavior,40.0,2.0
control,time_series,7.5,,,aggregate_behavior,45.0,1.92303339
rat_present,time_series,8.0,,,aggregate_behavior,49.0,1.456140351
rat_present,time_series,8.5,,,aggregate_behavior,53.0,1.037351443
control,time_series,9.0,,,aggregate_behavior,24.0,1.0
control,time_series,9.5,,,aggregate_behavior,27.0,1.0
rat_present,time_series,10.0,,,aggregate_behavior,14.0,0.0
control,time_series,10.5,,,aggregate_behavior,19.0,0.0
control,time_series,11.0,,,aggregate_behavior,11.0,0.0
control,time_series,11.5,,,aggregate_behavior,5.0,0.0
control,time_series,12.0,,,aggregate_behavior,5.0,0.0
control,time_series,12.5,,,aggregate_behavior,1.0,0.0
control,time_series,-0.5,,,aggregate_behavior,2.0,4.0
control,time_series,0.0,,,aggregate_behavior,36.0,4.0
control,time_series,0.5,,,aggregate_behavior,9.0,4.0
control,time_series,1.0,,,aggregate_behavior,46.0,4.0
control,time_series,1.5,,,aggregate_behavior,45.0,4.0
control,time_series,2.0,,,aggregate_behavior,63.0,4.0
control,time_series,2.5,,,aggregate_behavior,50.0,3.913412564
control,time_series,3.0,,,aggregate_behavior,23.0,3.438596491
control,time_series,3.5,,,aggregate_behavior,32.0,3.031126203
control,time_series,4.0,,,aggregate_behavior,67.0,3.0
control,time_series,4.5,,,aggregate_behavior,70.0,3.0
control,time_series,5.0,,,aggregate_behavior,54.0,3.0
control,time_series,5.5,,,aggregate_behavior,60.0,2.887096774
control,time_series,6.0,,,aggregate_behavior,80.0,2.416666667
rat_present,time_series,6.5,,,aggregate_behavior,38.0,2.029569892
rat_present,time_series,7.0,,,aggregate_behavior,46.0,2.0
rat_present,time_series,7.5,,,aggregate_behavior,41.0,2.0
control,time_series,8.0,,,aggregate_behavior,50.0,2.0
rat_present,time_series,8.5,,,aggregate_behavior,27.0,1.888947647
control,time_series,9.0,,,aggregate_behavior,31.0,1.426229508
control,time_series,9.5,,,aggregate_behavior,31.0,1.034902168
rat_present,time_series,10.0,,,aggregate_behavior,22.0,1.0
rat_present,time_series,10.5,,,aggregate_behavior,17.0,1.0
control,time_series,11.0,,,aggregate_behavior,21.0,1.0
control,time_series,11.5,,,aggregate_behavior,3.0,1.0
rat_present,time_series,12.0,,,aggregate_behavior,11.0,0.0
rat_present,time_series,12.5,,,aggregate_behavior,2.0,0.0
rat_present,time_series,13.0,,,aggregate_behavior,2.0,0.0
control,time_series,-0.5,,,aggregate_behavior,1.0,4.0
control,time_series,0.0,,,aggregate_behavior,8.0,4.0
control,time_series,0.5,,,aggregate_behavior,15.0,4.0
control,time_series,1.0,,,aggregate_behavior,21.0,4.0
control,time_series,1.5,,,aggregate_behavior,50.0,3.989704873
control,time_series,2.0,,,aggregate_behavior,80.0,3.574468085
control,time_series,2.5,,,aggregate_behavior,105.0,3.05353466
control,time_series,3.0,,,aggregate_behavior,64.0,3.0
control,time_series,3.5,,,aggregate_behavior,67.0,2.88518316
control,time_series,4.0,,,aggregate_behavior,79.0,2.406779661
control,time_series,4.5,,,aggregate_behavior,91.0,2.024603609
control,time_series,5.0,,,aggregate_behavior,90.0,2.0
control,time_series,5.5,,,aggregate_behavior,63.0,2.0
control,time_series,6.0,,,aggregate_behavior,73.0,2.0
control,time_series,6.5,,,aggregate_behavior,81.0,1.903225806
rat_present,time_series,7.0,,,aggregate_behavior,83.0,1.421052632
rat_present,time_series,7.5,,,aggregate_behavior,51.0,1.025466893
control,time_series,8.0,,,aggregate_behavior,53.0,1.0
control,time_series,8.5,,,aggregate_behavior,77.0,1.0
control,time_series,9.0,,,aggregate_behavior,43.0,1.0
rat_present,time_series,9.5,,,aggregate_behavior,18.0,0.875806452
control,time_series,10.0,,,aggregate_behavior,41.0,0.4
control,time_series,10.5,,,aggregate_behavior,33.0,0.075
control,time_series,11.0,,,aggregate_behavior,34.0,0.0
control,time_series,0.5,,,aggregate_behavior,73.0,4.0
control,time_series,1.0,,,aggregate_behavior,49.0,4.0
control,time_series,1.5,,,aggregate_behavior,39.0,4.0
rat_present,time_series,2.0,,,aggregate_behavior,47.0,4.0
control,time_series,2.5,,,aggregate_behavior,47.0,3.870455709
control,time_series,3.0,,,aggregate_behavior,75.0,3.412698413
rat_present,time_series,3.5,,,aggregate_behavior,85.0,3.033794163
rat_present,time_series,4.0,,,aggregate_behavior,92.0,3.0
rat_present,time_series,4.5,,,aggregate_behavior,60.0,2.863978495
control,time_series,5.0,,,aggregate_behavior,75.0,2.383333333
control,time_series,5.5,,,aggregate_behavior,60.0,2.019354839
control,time_series,6.0,,,aggregate_behavior,45.0,2.0
control,time_series,6.5,,,aggregate_behavior,63.0,1.875806452
rat_present,time_series,7.0,,,aggregate_behavior,70.0,1.4
rat_present,time_series,7.5,,,aggregate_behavior,49.0,1.024193548
control,time_series,8.0,,,aggregate_behavior,56.0,1.0
rat_present,time_series,8.5,,,aggregate_behavior,49.0,0.88320356
control,time_series,9.0,,,aggregate_behavior,51.0,0.396551724
control,time_series,9.5,,,aggregate_behavior,50.0,0.068965517
control,time_series,10.0,,,aggregate_behavior,36.0,0.0
control,time_series,10.5,,,aggregate_behavior,14.0,0.0
control,time_series,11.0,,,aggregate_behavior,6.0,0.0
control,time_series,-0.5,,,aggregate_behavior,6.0,4.0
control,time_series,0.0,,,aggregate_behavior,9.0,4.0
control,time_series,0.5,,,aggregate_behavior,13.0,4.0
control,time_series,1.0,,,aggregate_behavior,26.0,4.0
control,time_series,1.5,,,aggregate_behavior,56.0,3.920234604
control,time_series,2.0,,,aggregate_behavior,43.0,3.436363636
control,time_series,2.5,,,aggregate_behavior,56.0,3.026392962
control,time_series,3.0,,,aggregate_behavior,33.0,3.0
control,time_series,3.5,,,aggregate_behavior,52.0,3.0
control,time_series,4.0,,,aggregate_behavior,66.0,3.0
control,time_series,4.5,,,aggregate_behavior,46.0,2.860887097
control,time_series,5.0,,,aggregate_behavior,66.0,2.40625
control,time_series,5.5,,,aggregate_behavior,76.0,2.033266129
control,time_series,6.0,,,aggregate_behavior,66.0,2.0
control,time_series,6.5,,,aggregate_behavior,61.0,2.0
control,time_series,7.0,,,aggregate_behavior,54.0,2.0
control,time_series,7.5,,,aggregate_behavior,52.0,1.873701476
control,time_series,8.0,,,aggregate_behavior,35.0,1.389830508
control,time_series,8.5,,,aggregate_behavior,44.0,1.019682887
control,time_series,9.0,,,aggregate_behavior,39.0,1.0
control,time_series,9.5,,,aggregate_behavior,38.0,0.863978495
rat_present,time_series,10.0,,,aggregate_behavior,11.0,0.383333333
control,time_series,10.5,,,aggregate_behavior,18.0,0.066666667
control,time_series,11.0,,,aggregate_behavior,2.0,0.0
rat_present,time_series,11.5,,,aggregate_behavior,13.0,0.0
control,time_series,12.0,,,aggregate_behavior,8.0,0.0
control,time_series,12.5,,,aggregate_behavior,4.0,0.0
control,time_series,13.0,,,aggregate_behavior,2.0,0.0
rat_present,time_series,13.5,,,aggregate_behavior,2.0,0.0
control,time_series,-1.0,,,aggregate_behavior,1.0,4.0
control,time_series,-0.5,,,aggregate_behavior,3.0,4.0
control,time_series,0.0,,,aggregate_behavior,7.0,4.0
control,time_series,0.5,,,aggregate_behavior,6.0,4.0
control,time_series,1.0,,,aggregate_behavior,28.0,4.0
control,time_series,1.5,,,aggregate_behavior,20.0,3.911866359
control,time_series,2.0,,,aggregate_behavior,49.0,3.428571429
control,time_series,2.5,,,aggregate_behavior,35.0,3.025921659
control,time_series,3.0,,,aggregate_behavior,61.0,3.0
control,time_series,3.5,,,aggregate_behavior,44.0,3.0
control,time_series,4.0,,,aggregate_behavior,44.0,3.0
control,time_series,4.5,,,aggregate_behavior,37.0,2.863978495
control,time_series,5.0,,,aggregate_behavior,58.0,2.383333333
control,time_series,5.5,,,aggregate_behavior,53.0,2.019354839
control,time_series,6.0,,,aggregate_behavior,40.0,2.0
control,time_series,6.5,,,aggregate_behavior,33.0,2.0
rat_present,time_series,7.0,,,aggregate_behavior,36.0,2.0
control,time_series,7.5,,,aggregate_behavior,48.0,1.869269949
control,time_series,8.0,,,aggregate_behavior,29.0,1.368421053
control,time_series,8.5,,,aggregate_behavior,36.0,1.01188455
control,time_series,9.0,,,aggregate_behavior,29.0,1.0
rat_present,time_series,9.5,,,aggregate_behavior,19.0,1.0
rat_present,time_series,10.0,,,aggregate_behavior,15.0,1.0
rat_present,time_series,10.5,,,aggregate_behavior,28.0,1.0
control,time_series,11.0,,,aggregate_behavior,20.0,0.0
rat_present,time_series,11.5,,,aggregate_behavior,5.0,0.0
control,time_series,12.5,,,aggregate_behavior,4.0,0.0
control,time_series,13.0,,,aggregate_behavior,4.0,0.0
control,time_series,-1.5,,,aggregate_behavior,2.0,4.0
control,time_series,-1.0,,,aggregate_behavior,1.0,4.0
control,time_series,-0.5,,,aggregate_behavior,2.0,4.0
control,time_series,0.0,,,aggregate_behavior,1.0,4.0
control,time_series,0.5,,,aggregate_behavior,2.0,4.0
control,time_series,1.0,,,aggregate_behavior,15.0,4.0
control,time_series,1.5,,,aggregate_behavior,52.0,4.0
control,time_series,2.0,,,aggregate_behavior,53.0,4.0
control,time_series,2.5,,,aggregate_behavior,54.0,3.838709677
control,time_series,3.0,,,aggregate_behavior,72.0,3.35
control,time_series,3.5,,,aggregate_behavior,62.0,3.011290323
control,time_series,4.0,,,aggregate_behavior,62.0,3.0
control,time_series,4.5,,,aggregate_behavior,84.0,2.83358935
control,time_series,5.0,,,aggregate_behavior,68.0,2.365079365
control,time_series,5.5,,,aggregate_behavior,78.0,2.01843318
control,time_series,6.0,,,aggregate_behavior,41.0,2.0
control,time_series,6.5,,,aggregate_behavior,41.0,2.0
control,time_series,7.0,,,aggregate_behavior,49.0,2.0
control,time_series,7.5,,,aggregate_behavior,64.0,1.873701476
control,time_series,8.0,,,aggregate_behavior,36.0,1.389830508
control,time_series,8.5,,,aggregate_behavior,32.0,1.019682887
control,time_series,9.0,,,aggregate_behavior,29.0,1.0
rat_present,time_series,9.5,,,aggregate_behavior,14.0,1.0
rat_present,time_series,10.0,,,aggregate_behavior,10.0,0.0
control,time_series,10.5,,,aggregate_behavior,15.0,0.0
rat_present,time_series,11.0,,,aggregate_behavior,22.0,0.0
control,time_series,11.5,,,aggregate_behavior,10.0,0.0
rat_present,time_series,12.0,,,aggregate_behavior,12.0,0.0
rat_present,time_series,12.5,,,aggregate_behavior,3.0,0.0
rat_present,time_series,13.0,,,aggregate_behavior,2.0,0.0
control,time_series,-0.5,,,aggregate_behavior,5.0,4.0
control,time_series,0.0,,,aggregate_behavior,16.0,4.0
control,time_series,0.5,,,aggregate_behavior,11.0,4.0
control,time_series,1.0,,,aggregate_behavior,31.0,4.0
control,time_series,1.5,,,aggregate_behavior,52.0,3.934863524
control,time_series,2.0,,,aggregate_behavior,56.0,3.442307692
control,time_series,2.5,,,aggregate_behavior,47.0,3.022332506
control,time_series,3.0,,,aggregate_behavior,86.0,3.0
control,time_series,3.5,,,aggregate_behavior,54.0,2.83358935
control,time_series,4.0,,,aggregate_behavior,84.0,2.365079365
rat_present,time_series,4.5,,,aggregate_behavior,86.0,2.01843318
rat_present,time_series,5.0,,,aggregate_behavior,103.0,2.0
control,time_series,5.5,,,aggregate_behavior,91.0,1.854262673
control,time_series,6.0,,,aggregate_behavior,41.0,1.339285714
control,time_series,6.5,,,aggregate_behavior,76.0,1.005760369
control,time_series,7.0,,,aggregate_behavior,32.0,1.0
control,time_series,7.5,,,aggregate_behavior,34.0,0.828133263
control,time_series,8.0,,,aggregate_behavior,62.0,0.344262295
control,time_series,8.5,,,aggregate_behavior,33.0,0.049180328
rat_present,time_series,9.0,,,aggregate_behavior,36.0,0.0
control,time_series,9.5,,,aggregate_behavior,46.0,0.0
control,time_series,10.0,,,aggregate_behavior,8.0,0.0
control,time_series,-1.0,,,aggregate_behavior,16.0,4.0
control,time_series,-0.5,,,aggregate_behavior,10.0,4.0
control,time_series,0.0,,,aggregate_behavior,8.0,4.0
rat_present,time_series,0.5,,,aggregate_behavior,9.0,4.0
rat_present,time_series,1.0,,,aggregate_behavior,29.0,4.0
rat_present,time_series,1.5,,,aggregate_behavior,34.0,3.822307272
rat_present,time_series,2.0,,,aggregate_behavior,51.0,3.322033898
rat_present,time_series,2.5,,,aggregate_behavior,61.0,3.005467469
control,time_series,3.0,,,aggregate_behavior,65.0,3.0
control,time_series,3.5,,,aggregate_behavior,72.0,3.0
control,time_series,4.0,,,aggregate_behavior,88.0,3.0
control,time_series,4.5,,,aggregate_behavior,50.0,2.830905307
control,time_series,5.0,,,aggregate_behavior,107.0,2.35483871
control,time_series,5.5,,,aggregate_behavior,70.0,2.014568158
control,time_series,6.0,,,aggregate_behavior,55.0,2.0
control,time_series,6.5,,,aggregate_behavior,45.0,2.0
control,time_series,7.0,,,aggregate_behavior,43.0,2.0
control,time_series,7.5,,,aggregate_behavior,40.0,1.849097868
control,time_series,8.0,,,aggregate_behavior,48.0,1.355932203
control,time_series,8.5,,,aggregate_behavior,37.0,1.011481684
control,time_series,9.0,,,aggregate_behavior,34.0,1.0
control,time_series,9.5,,,aggregate_behavior,25.0,1.0
control,time_series,10.0,,,aggregate_behavior,6.0,1.0
control,time_series,10.5,,,aggregate_behavior,10.0,1.0
control,time_series,11.0,,,aggregate_behavior,15.0,0.0
control,time_series,11.5,,,aggregate_behavior,3.0,0.0
control,time_series,12.0,,,aggregate_behavior,2.0,0.0
rat_present,time_series,-1.0,,,aggregate_behavior,2.0,4.0
rat_present,time_series,-0.5,,,aggregate_behavior,5.0,4.0
control,time_series,0.0,,,aggregate_behavior,10.0,4.0
control,time_series,0.5,,,aggregate_behavior,3.0,4.0
control,time_series,1.0,,,aggregate_behavior,17.0,4.0
control,time_series,1.5,,,aggregate_behavior,53.0,4.0
control,time_series,2.0,,,aggregate_behavior,57.0,4.0
control,time_series,2.5,,,aggregate_behavior,48.0,3.800105764
control,time_series,3.0,,,aggregate_behavior,45.0,3.31147541
control,time_series,3.5,,,aggregate_behavior,58.0,3.005288207
control,time_series,4.0,,,aggregate_behavior,45.0,3.0
rat_present,time_series,4.5,,,aggregate_behavior,53.0,3.0
control,time_series,5.0,,,aggregate_behavior,65.0,3.0
control,time_series,5.5,,,aggregate_behavior,70.0,2.796774194
control,time_series,6.0,,,aggregate_behavior,41.0,2.3
control,time_series,6.5,,,aggregate_behavior,52.0,2.003225806
control,time_series,7.0,,,aggregate_behavior,44.0,2.0
control,time_series,7.5,,,aggregate_behavior,59.0,2.0
control,time_series,8.0,,,aggregate_behavior,49.0,2.0
control,time_series,8.5,,,aggregate_behavior,37.0,2.0
control,time_series,9.0,,,aggregate_behavior,35.0,2.0
control,time_series,9.5,,,aggregate_behavior,52.0,1.843803056
control,time_series,10.0,,,aggregate_behavior,32.0,1.333333333
control,time_series,10.5,,,aggregate_behavior,15.0,1.00565931
control,time_series,11.0,,,aggregate_behavior,17.0,1.0
rat_present,time_series,11.5,,,aggregate_behavior,10.0,1.0
rat_present,time_series,12.0,,,aggregate_behavior,5.0,0.0
control,time_series,12.5,,,aggregate_behavior,2.0,0.0
control,time_series,13.0,,,aggregate_behavior,3.0,0.0
control,time_series,-1.5,,,aggregate_behavior,4.0,4.0
control,time_series,-1.0,,,aggregate_behavior,1.0,4.0
rat_present,time_series,-0.5,,,aggregate_behavior,10.0,4.0
rat_present,time_series,0.0,,,aggregate_behavior,8.0,4.0
rat_present,time_series,0.5,,,aggregate_behavior,13.0,4.0
control,time_series,1.0,,,aggregate_behavior,40.0,4.0
control,time_series,1.5,,,aggregate_behavior,45.0,3.800105764
control,time_series,2.0,,,aggregate_behavior,55.0,3.31147541
control,time_series,2.5,,,aggregate_behavior,63.0,3.005288207
rat_present,time_series,3.0,,,aggregate_behavior,65.0,3.0
rat_present,time_series,3.5,,,aggregate_behavior,68.0,3.0
control,time_series,4.0,,,aggregate_behavior,71.0,3.0
control,time_series,4.5,,,aggregate_behavior,45.0,3.0
control,time_series,5.0,,,aggregate_behavior,63.0,3.0
control,time_series,5.5,,,aggregate_behavior,52.0,2.796774194
rat_present,time_series,6.0,,,aggregate_behavior,45.0,2.3
control,time_series,6.5,,,aggregate_behavior,72.0,2.003225806
control,time_series,7.0,,,aggregate_behavior,62.0,2.0
control,time_series,7.5,,,aggregate_behavior,78.0,2.0
control,time_series,8.0,,,aggregate_behavior,44.0,2.0
control,time_series,8.5,,,aggregate_behavior,52.0,1.814383924
control,time_series,9.0,,,aggregate_behavior,46.0,1.327868852
control,time_series,9.5,,,aggregate_behavior,56.0,0.82400475
control,time_series,10.0,,,aggregate_behavior,38.0,0.298245614
control,time_series,10.5,,,aggregate_behavior,4.0,0.01754386
control,time_series,-1.5,,,aggregate_behavior,6.0,4.0
control,time_series,-1.0,,,aggregate_behavior,9.0,4.0
rat_present,time_series,-0.5,,,aggregate_behavior,10.0,4.0
rat_present,time_series,0.0,,,aggregate_behavior,14.0,4.0
control,time_series,0.5,,,aggregate_behavior,9.0,4.0
control,time_series,1.0,,,aggregate_behavior,30.0,4.0
control,time_series,1.5,,,aggregate_behavior,46.0,4.0
control,time_series,2.0,,,aggregate_behavior,52.0,4.0
rat_present,time_series,2.5,,,aggregate_behavior,50.0,3.766129032
control,time_series,3.0,,,aggregate_behavior,71.0,3.266666667
control,time_series,3.5,,,aggregate_behavior,65.0,3.000537634
control,time_series,4.0,,,aggregate_behavior,52.0,3.0
control,time_series,4.5,,,aggregate_behavior,60.0,3.0
control,time_series,5.0,,,aggregate_behavior,52.0,3.0
control,time_series,5.5,,,aggregate_behavior,62.0,2.785298784
control,time_series,6.0,,,aggregate_behavior,59.0,2.295081967
control,time_series,6.5,,,aggregate_behavior,37.0,2.003172924
rat_present,time_series,7.0,,,aggregate_behavior,39.0,2.0
control,time_series,7.5,,,aggregate_behavior,47.0,1.777265745
rat_present,time_series,8.0,,,aggregate_behavior,40.0,1.301587302
control,time_series,8.5,,,aggregate_behavior,37.0,1.005120328
control,time_series,9.0,,,aggregate_behavior,32.0,1.0
rat_present,time_series,9.5,,,aggregate_behavior,22.0,1.0
control,time_series,10.0,,,aggregate_behavior,22.0,1.0
control,time_series,10.5,,,aggregate_behavior,11.0,1.0
control,time_series,11.0,,,aggregate_behavior,5.0,0.0
control,time_series,11.5,,,aggregate_behavior,3.0,0.0
control,time_series,-1.5,,,aggregate_behavior,8.0,4.0
control,time_series,-1.0,,,aggregate_behavior,1.0,4.0
control,time_series,-0.5,,,aggregate_behavior,4.0,4.0
control,time_series,0.0,,,aggregate_behavior,9.0,4.0
control,time_series,0.5,,,aggregate_behavior,19.0,4.0
control,time_series,1.0,,,aggregate_behavior,22.0,4.0
control,time_series,1.5,,,aggregate_behavior,41.0,4.0
control,time_series,2.0,,,aggregate_behavior,34.0,4.0
control,time_series,2.5,,,aggregate_behavior,43.0,3.769962983
control,time_series,3.0,,,aggregate_behavior,55.0,3.278688525
control,time_series,3.5,,,aggregate_behavior,84.0,3.001586462
control,time_series,4.0,,,aggregate_behavior,90.0,3.0
control,time_series,4.5,,,aggregate_behavior,90.0,3.0
control,time_series,5.0,,,aggregate_behavior,81.0,3.0
control,time_series,5.5,,,aggregate_behavior,58.0,2.774193548
control,time_series,6.0,,,aggregate_behavior,55.0,2.25862069
control,time_series,6.5,,,aggregate_behavior,32.0,2.0
control,time_series,7.0,,,aggregate_behavior,37.0,2.0
control,time_series,7.5,,,aggregate_behavior,50.0,2.0
rat_present,time_series,8.0,,,aggregate_behavior,36.0,2.0
rat_present,time_series,8.5,,,aggregate_behavior,46.0,2.0
control,time_series,9.0,,,aggregate_behavior,26.0,2.0
rat_present,time_series,9.5,,,aggregate_behavior,30.0,1.822307272
control,time_series,10.0,,,aggregate_behavior,20.0,1.322033898
control,time_series,10.5,,,aggregate_behavior,10.0,1.005467469
control,time_series,11.0,,,aggregate_behavior,10.0,1.0
control,time_series,11.5,,,aggregate_behavior,1.0,1.0
control,time_series,12.0,,,aggregate_behavior,2.0,0.0
control,time_series,-0.5,,,aggregate_behavior,17.0,4.0
control,time_series,0.0,,,aggregate_behavior,10.0,4.0
control,time_series,0.5,,,aggregate_behavior,34.0,4.0
control,time_series,1.0,,,aggregate_behavior,26.0,3.890738814
control,time_series,1.5,,,aggregate_behavior,43.0,3.435483871
control,time_series,2.0,,,aggregate_behavior,77.0,3.040582726
control,time_series,2.5,,,aggregate_behavior,71.0,3.0
control,time_series,3.0,,,aggregate_behavior,88.0,3.0
control,time_series,3.5,,,aggregate_behavior,92.0,3.0
control,time_series,4.0,,,aggregate_behavior,93.0,2.917741935
control,time_series,4.5,,,aggregate_behavior,106.0,2.466666667
control,time_series,5.0,,,aggregate_behavior,133.0,2.048924731
control,time_series,5.5,,,aggregate_behavior,85.0,2.0
control,time_series,6.0,,,aggregate_behavior,96.0,1.902713774
control,time_series,6.5,,,aggregate_behavior,107.0,1.46031746
control,time_series,7.0,,,aggregate_behavior,117.0,0.975422427
control,time_series,7.5,,,aggregate_behavior,74.0,0.446428571
control,time_series,8.0,,,aggregate_behavior,27.0,0.089285714
control,time_series,8.5,,,aggregate_behavior,21.0,0.0
control,time_series,9.0,,,aggregate_behavior,15.0,0.0
rat_present,time_series,9.5,,,aggregate_behavior,3.0,0.0
rat_present,time_series,10.0,,,aggregate_behavior,13.0,0.0
control,time_series,10.5,,,aggregate_behavior,7.0,0.0
rat_present,time_series,11.0,,,aggregate_behavior,16.0,0.0
control,time_series,-1.5,,,aggregate_behavior,52.0,4.0
control,time_series,-1.0,,,aggregate_behavior,29.0,4.0
control,time_series,-0.5,,,aggregate_behavior,13.0,4.0
control,time_series,0.0,,,aggregate_behavior,14.0,4.0
control,time_series,0.5,,,aggregate_behavior,15.0,4.0
control,time_series,1.0,,,aggregate_behavior,12.0,4.0
control,time_series,1.5,,,aggregate_behavior,27.0,4.0
control,time_series,2.0,,,aggregate_behavior,41.0,3.908064516
control,time_series,2.5,,,aggregate_behavior,26.0,3.45
control,time_series,3.0,,,aggregate_behavior,41.0,3.041935484
rat_present,time_series,3.5,,,aggregate_behavior,68.0,3.0
control,time_series,4.0,,,aggregate_behavior,79.0,3.0
control,time_series,4.5,,,aggregate_behavior,92.0,3.0
control,time_series,5.0,,,aggregate_behavior,104.0,2.916347731
control,time_series,5.5,,,aggregate_behavior,85.0,2.457627119
control,time_series,6.0,,,aggregate_behavior,93.0,2.042646255
control,time_series,6.5,,,aggregate_behavior,98.0,2.0
control,time_series,7.0,,,aggregate_behavior,55.0,1.890738814
control,time_series,7.5,,,aggregate_behavior,35.0,1.435483871
control,time_series,8.0,,,aggregate_behavior,29.0,1.040582726
control,time_series,8.5,,,aggregate_behavior,33.0,1.0
control,time_series,9.0,,,aggregate_behavior,35.0,1.0
control,time_series,9.5,,,aggregate_behavior,18.0,1.0
rat_present,time_series,10.0,,,aggregate_behavior,10.0,1.0
rat_present,time_series,10.5,,,aggregate_behavior,4.0,0.0
control,time_series,11.0,,,aggregate_behavior,5.0,0.0
control,time_series,12.0,,,aggregate_behavior,3.0,0.0
control,time_series,12.5,,,aggregate_behavior,1.0,0.0
control,time_series,13.0,,,aggregate_behavior,4.0,0.0
control,time_series,13.5,,,aggregate_behavior,1.0,0.0
control,time_series,-0.5,,,aggregate_behavior,1.0,4.0
control,time_series,0.0,,,aggregate_behavior,6.0,4.0
control,time_series,0.5,,,aggregate_behavior,16.0,4.0
rat_present,time_series,1.0,,,aggregate_behavior,12.0,4.0
control,time_series,1.5,,,aggregate_behavior,11.0,4.0
rat_present,time_series,2.0,,,aggregate_behavior,22.0,3.901144641
control,time_series,2.5,,,aggregate_behavior,19.0,3.451612903
control,time_series,3.0,,,aggregate_behavior,35.0,3.047346514
control,time_series,3.5,,,aggregate_behavior,58.0,3.0
control,time_series,4.0,,,aggregate_behavior,48.0,3.0
control,time_series,4.5,,,aggregate_behavior,54.0,3.0
control,time_series,5.0,,,aggregate_behavior,53.0,3.0
control,time_series,5.5,,,aggregate_behavior,80.0,3.0
control,time_series,6.0,,,aggregate_behavior,43.0,3.0
control,time_series,6.5,,,aggregate_behavior,59.0,3.0
control,time_series,7.0,,,aggregate_behavior,39.0,3.0
control,time_series,7.5,,,aggregate_behavior,31.0,3.0
rat_present,time_series,8.0,,,aggregate_behavior,30.0,2.896118097
control,time_series,8.5,,,aggregate_behavior,28.0,2.423728814
rat_present,time_series,9.0,,,aggregate_behavior,14.0,2.030071077
control,time_series,9.5,,,aggregate_behavior,16.0,2.0
control,time_series,10.0,,,aggregate_behavior,14.0,2.0
control,time_series,10.5,,,aggregate_behavior,4.0,2.0
control,time_series,11.5,,,aggregate_behavior,5.0,2.0
control,time_series,12.0,,,aggregate_behavior,3.0,2.0
control,time_series,12.5,,,aggregate_behavior,4.0,0.0
control,time_series,13.5,,,aggregate_behavior,2.0,0.0
control,time_series,-1.0,,,aggregate_behavior,3.0,4.0
control,time_series,-0.5,,,aggregate_behavior,9.0,4.0
control,time_series,0.0,,,aggregate_behavior,10.0,4.0
control,time_series,0.5,,,aggregate_behavior,11.0,4.0
control,time_series,1.0,,,aggregate_behavior,11.0,3.820276498
control,time_series,1.5,,,aggregate_behavior,21.0,3.349206349
control,time_series,2.0,,,aggregate_behavior,31.0,3.014336918
control,time_series,2.5,,,aggregate_behavior,29.0,3.0
control,time_series,3.0,,,aggregate_behavior,33.0,3.0
control,time_series,3.5,,,aggregate_behavior,14.0,3.0
control,time_series,4.0,,,aggregate_behavior,44.0,3.0
